id,date,user,pc,to,cc,bcc,from,activity,size,attachments,content
{I5A5-I3DX82CH-0170HBBS},01/02/2010 06:59:17,LIM1718,PC-7539,Lisandra.Inez.Myers@dtaa.com,,,Joan.Martina.Fulton@dtaa.com,View,20269,,"In Rainbows won awards for Best Alternative Music Album and Best Special Limited Edition Package. According to an Internet survey conducted by Record of the Day of 3,000 people, about one-third of people who downloaded the album paid nothing, with the average price paid being ?4. ""Jigsaw Falling into Place"" charted more poorly, peaking at number 69 in airplay on alternative rock-oriented stations. Coprinellus micaeus was illustrated in a woodcut by the 16th-century botanist Carolus Clusius in what is arguably the first published monograph on fungi, the 1601 Rariorum plantarum historia. The spores of C. micaceus are reddish-brown, with dimensions of 7-10 by 4.5-6 ?m. Generally, they are lentiform (shaped like a biconvex lens), but viewed from the side they appear more almond-shaped or spindle-shaped, while in front view they appear oval or mitriform (roughly the shape of a miter-a peaked cap)."
{P4B0-D7CG41WP-7808NYYL},01/02/2010 06:59:24,HDB1666,PC-6793,Hector.Donovan.Bray@dtaa.com,,,Jamalia_Jacobson@lockheedmartin.com,View,21024,,"Although the plan was abandoned, the prisoners feared that the SS might want to massacre the prisoners by other means. The Kapos formed the main part of the so-called Prominents (Prominenz), or prisoners who were given a much better treatment than the average inmate. On April 28, under cover of a fictional air-raid alarm, some 22,000 prisoners of Gusen were rushed into the tunnels. His troop disarmed the policemen and left the camp. File:Estelades a Mauthausen.jpg|Exhibits at Mauthausen File:Bundesarchiv Bild 192-147, KZ Mauthausen, Aufbau von Haftlingsbaracken.jpg|Construction of a prisoner barracks."
{S5J9-I4FH92LC-1334KRVD},01/02/2010 07:00:36,HDB1666,PC-6793,Louis.Bernard.Garza@dtaa.com,Hector.Donovan.Bray@dtaa.com,,Hector.Donovan.Bray@dtaa.com,Send,19822,,"In fact, the first seven productions of Sylvia were not successful. In 1875 the Paris Opera chose Barbier and Reinach's libretto for Sylvia. Vinegar can be dilute acetic acid produced by fermentation. Acetic acid (systematically named Ethanoic acid) is an organic compound with the chemical formula CH3CO2H (also written as CH3COOH)."
{I0S8-Q3ME79LN-4645WYIS},01/02/2010 07:02:44,HDB1666,PC-6793,Hector.Donovan.Bray@dtaa.com,,,Oleg.Hammett.Davidson@dtaa.com,View,22858,,"Here, at least 11 of them are situated on top of a long narrow mountain ridge and in adjacent river valleys. Eruptive activity in the Mount Cayley volcanic field is typical of past volcanism elsewhere in the Garibaldi Belt. After a meeting with the University's Vice-Chancellor, A. D. Lindsay, Nuffield wrote to him on 15 August 1939 to say that he felt ""obliged to adhere to my adverse judgement of the plans"". Only a compromise would suit ""a 20th century donor with an industrial background who sighs for romance, a committee of economists who are after results [and] the governing committee of a University steeped in its tradition""."
{L7N2-K9GK48KI-3741AXLS},01/02/2010 07:03:13,HDB1666,PC-6793,Christen.Nichole.Todd@dtaa.com;Cheryl.Brianna.Aguirre@dtaa.com,,Hector.Donovan.Bray@dtaa.com,Hector.Donovan.Bray@dtaa.com,Send,45215,,"Throughout the rehearsal period the score was under constant revision by Delibes, often with the ""aid"" of Merante and Rita Sangalli who would each dance a lead role. Aminta, a lowly shepherd, stumbles in on them, disrupting their ritual. Now Sylvia, the object of Aminta's desire, arrives on the scene with her posse of hunters to mock the god of love. Liquid acetic acid is a hydrophilic (polar) protic solvent, similar to ethanol and water. The systematic name ethanoic acid, a valid IUPAC name, is constructed according to the substitutive nomenclature."
{X8I1-S3GO75IU-4815SRQE},01/02/2010 07:03:18,LIM1718,PC-7539,Lisandra.Inez.Myers@dtaa.com,,,GJH8633@hp.com,View,31594,,"The album's download and ""discbox"" sales were not eligible for inclusion in the UK Albums Chart because the website is not a chart-registered retailer. Recording having wrapped up in June, Bob Ludwig mastered the album in July 2007 at Gateway Mastering, New York City. A limited made-to-order ""discbox"", available for pre-order through inrainbows.com, was released on 3 December 2007. They did not witness his execution, per his request. At Gardner's commutation hearing on June 10, 2010, lawyers and medical experts in his defense argued whether meningitis contracted at the age of 4 had damaged his brain."
{B5K1-I0JY18SQ-3952PSXI},01/02/2010 07:04:25,MBA1797,PC-0470,Rhoda.Avye.Irwin@dtaa.com,Christopher.Jerome.Mueller@dtaa.com,Mikayla.Brynn.Alford@dtaa.com;Lucius.Orlando.Patton@dtaa.com,Mikayla.Brynn.Alford@dtaa.com,Send,41923,,"Results differ slightly between researchers. As the first such body to be discovered, it was given the designation 1 Ceres under the modern system of asteroid numbering. The spacecraft instrumentation includes a framing camera, a visual and infrared spectrometer, and a gamma-ray and neutron detector."
{F9F3-M4MT31NQ-1307WPHA},01/02/2010 07:08:36,MBA1797,PC-0470,Mikayla.Brynn.Alford@dtaa.com,,,Janna.Echo.Terry@dtaa.com,View,22795,,"The scout was allowed to notify Sherburne of his capture; in his message he included a claim that 500 Indians had surrounded the fort at The Cedars. Word then came to Forster that Sherburne had resumed his advance; Butterfield, unaware of this, surrendered the fort. In response to these alarming reports, as well as the unauthorized departures of two fur traders and Claude de Lorimier, a British Indian agent from Montreal, Hazen had sent 400 troops commanded by Colonel Timothy Bedel of Bedel's Regiment to occupy a strategic position at The Cedars in early April. She is now about 80 but still a civic beacon of Houston."" Hogg's parents allowed this to continue until Thomas cut his chin, after which Jim Hogg nailed tacks along the center of the railing to curb the activity through fear of bloodied posteriors; the holes from the tacks remained visible in the banister for many decades after the Hogg family moved from the home."
{K8M7-T4PT20MO-7348PZZF},01/02/2010 07:09:40,ATH0225,PC-7844,Silas.Kelly.Levy@dtaa.com;Sage.Justine.Garrett@dtaa.com;Nevada.Hadassah.Yang@dtaa.com,,Andrew.Tobias.Hoover@dtaa.com,Andrew.Tobias.Hoover@dtaa.com,Send,1734457,C:\7TORMXD6.doc(1379680);C:\64dL9z2\9Y1A7RB7.doc(332454),"H. pylori's helix shape (from which the generic name is derived) is thought to have evolved to penetrate the mucoid lining of the stomach. Most people (over 80%) infected with H. pylori show no symptoms. After numerous unsuccessful attempts at culturing the bacteria from the stomach, they finally succeeded in visualizing colonies in 1982, when they unintentionally left their Petri dishes incubating for 5 days over the Easter weekend. In recent years, many attempts, using various H. pylori antigens such as urease, CagA, HP-NAP, HspA or combinations, many adjuvants and different routes of immunisation have been made to create vaccines against H. pylori infection."
{T5D4-B0FG27UL-9243ZUGJ},01/02/2010 07:10:15,ATH0225,PC-7844,Andrew.Tobias.Hoover@dtaa.com,,,Alana.Brianna.Everett@dtaa.com,View,36707,,"The program was marred by various concerns, notably the safety of Mir following a fire and a collision, financial issues with the cash-strapped Russian Space Program and worries from astronauts about the attitudes of the program administrators. Their aim was to remove electrical power connectors from a 12-year old solar power array on the base block and reconnect the cables to the more efficient new solar power arrays. The Russians, however, would not budge, and many felt that significant work time was lost because of this. He further announced that Derbyshire and Durham would be referred back to the Commission for consideration under the new guidance. We favour the creation in England and Wales of unitary authorities""."
{P0N5-C8ID55NI-2897XEXX},01/02/2010 07:10:53,ATH0225,PC-7844,Andrew.Tobias.Hoover@dtaa.com,,,ADW6237@harris.com,View,22669,,"Like many rodents, guinea pigs sometimes participate in social grooming, and they regularly self-groom. Guinea pigs do not generally thrive when housed with other species. Other causes of hair loss can be due to hormonal upsets caused by underlying medical conditions such as ovarian cysts. The gestation period lasts from 59-72 days, with an average of 63-68 days. From the accidental discovery in 1907 that scurvy could be induced in guinea pigs, to their use to prove the chemical structure of the ""ascorbutic factor"" in 1932, the guinea pig model proved a crucial part of vitamin C research."
{A3Z5-U4UI50GY-6379TGRR},01/02/2010 07:11:17,ATH0225,PC-7844,Andrew.Tobias.Hoover@dtaa.com,,,Brody.Vernon.Bonner@dtaa.com,View,39442,,"Soult, on the basis of higher allied casualties, also claimed ""a signal victory"". Beresford also had the relatively unscathed Portuguese division, Alten's KGL and several Spanish battalions ready for duty; Soult, in contrast, only had Godinot's brigade and Latour-Maubourg's cavalry in a fit state to fight. Just one month later, in June 1811, the Allies were forced to abandon their siege by the approach of the reconstituted French Armies of Portugal and Andalusia. Many of the scenes in the mental institution are references to the film One Flew Over the Cuckoo's Nest. adds a thousand watts of star power."""
{Q6S8-M9BJ01TI-8186CLWV},01/02/2010 07:11:18,ATH0225,PC-7844,Andrew.Tobias.Hoover@dtaa.com,,,Dorian.Gannon.Nixon@dtaa.com,View,32645,,"After the final match in England, Trott and his players broke an agreement to return home in time for the 1896-97 Australian season. Jack Pollard wrote ""It was said that [Trott] never made an enemy and was universally admired."" Doctors observed that Trott continually stood in one place, showing little interest in events around him. There, he is found to be emitting strong electrical fields and is placed in quarantine. Hopps notes that he ""like[s] the humanity"" of Electro: ""Here's a person who didn't ask to be a villain, but found himself thrust into that role."""
{H0N1-F6NZ57SL-4079CFRZ},01/02/2010 07:13:13,ATH0225,PC-7844,SJG53@yahoo.com,ATH3@gmail.com,,ATH3@gmail.com,Send,21056,,"An unknown third-person narrator also reflects Terhune's perspective and values regarding violence, which is both repelled and embraced. When the Master refuses to believe the accusations, they are taken to court where the neighbor's farmhand testifies that he saw Lad kill two of the sheep. He played with the other bears, he was relaxed and strong"". Knut's sudden death caused an international outpouring of grief."
{T0Y9-P8JR74PJ-7398AOJJ},01/02/2010 07:13:59,ATH0225,PC-7844,Andrew.Tobias.Hoover@dtaa.com,,,Quintessa.S.York@hp.com,View,24111,,"Miller had privately decided that he would not go through with the deal, but was refusing to inform the Lancastrian club. During the southern hemisphere winter of 1946, Miller had travelled to Boston, Massachusetts to marry Peg Wagner, whom he met during a stopover early in 1943 on the way to military service in the United Kingdom. Miller scored 188 against South Australia, before making 153 and 206 not out, both at high tempo as Victoria twice defeated arch-rivals New South Wales. Comments about Heliade and his Bucharest statue feature prominently in Macedonski's short story Nicu Dereanu, whose main character, a daydreaming Bohemian, idolizes the Wallachian writer. Nevertheless, Heliade maintained contacts with the faction of reformist boyars: in 1833, together with Ion Campineanu, Iancu Vacarescu, Ioan Voinescu II, Constantin Aristia, Stefan and Nicolae Golescu, as well as others, he founded the short-lived Sotietatea Filarmonica (the Philharmonic Society), which advanced a cultural agenda (and was especially active in raising funds for the National Theater of Wallachia)."
{B8X5-M5WH67OJ-0102HKRY},01/02/2010 07:14:43,ATH0225,PC-7844,Andrew.Tobias.Hoover@dtaa.com,,,Quintessa.S.York@hp.com,View,24111,,"Miller had privately decided that he would not go through with the deal, but was refusing to inform the Lancastrian club. During the southern hemisphere winter of 1946, Miller had travelled to Boston, Massachusetts to marry Peg Wagner, whom he met during a stopover early in 1943 on the way to military service in the United Kingdom. Miller scored 188 against South Australia, before making 153 and 206 not out, both at high tempo as Victoria twice defeated arch-rivals New South Wales. Comments about Heliade and his Bucharest statue feature prominently in Macedonski's short story Nicu Dereanu, whose main character, a daydreaming Bohemian, idolizes the Wallachian writer. Nevertheless, Heliade maintained contacts with the faction of reformist boyars: in 1833, together with Ion Campineanu, Iancu Vacarescu, Ioan Voinescu II, Constantin Aristia, Stefan and Nicolae Golescu, as well as others, he founded the short-lived Sotietatea Filarmonica (the Philharmonic Society), which advanced a cultural agenda (and was especially active in raising funds for the National Theater of Wallachia)."
{U6N3-P8JN16OS-9248DZUG},01/02/2010 07:14:54,ATH0225,PC-7844,SJG53@yahoo.com;Leroy.H.Tucker@earthlink.net;Kalia_Bray@bellsouth.net;Valenzuela-Ferdinand@earthlink.net,Silas-Levy@msn.com,ATH3@gmail.com,ATH3@gmail.com,Send,1177519,C:\11fL3j2\AHHWZ10A.txt(1157938),"A blog with updates about the polar bear was maintained by a journalist at the regional public broadcaster Rundfunk Berlin-Brandenburg; it was available in German, English, and Spanish. Around 400 journalists visited the Berlin Zoo on what was dubbed ""Knut Day"" to report on the cub's first public appearance to a worldwide audience. It was the only show he ever attended and he won the Veteran Cup. After he collected together the twenty Lad stories he'd written so far, he reorganized them into chapters and submitted the book."
{Z7I7-B2JJ94ZO-2105ZCME},01/02/2010 07:15:37,ATH0225,PC-7844,Andrew.Tobias.Hoover@dtaa.com,,,Ocean.Lois.Bernard@dtaa.com,View,60538,,"Miller then scored 34 as Australia set England 551 to win in seven hours. Bowl quicker.' Hassett had outlined after the Victory Tests that the post-war era should be about ""cricket, not war""."
{M4T9-R5AD27TQ-2285GPOK},01/02/2010 07:18:10,IWG0058,PC-4074,Darrel.Yvonne.Holloway@dtaa.com;Rogan.Clarke.Miranda@dtaa.com;Denton.Colin.Burch@dtaa.com,,Igor.Walter.Gaines@dtaa.com,Igor.Walter.Gaines@dtaa.com,Send,23459,,"Cope was humiliated and powerless to stop his rival's changes. Any pretense of cordiality between Cope and Marsh ended in 1872, and by spring 1873 open hostility ensued. I could not be responsible for the field he selected in as much as I pay him no salary and a portion of his expenses. Cope and Marsh used their personal wealth to fund expeditions each summer, then spent the winter publishing their discoveries. While Marsh's own collectors headed east for the winter, Reed sent carloads of bones by rail to Marsh throughout 1877."
{F5P6-J5HX71LV-3616ANJH},01/02/2010 07:18:49,IWG0058,PC-4074,Igor.Walter.Gaines@dtaa.com,,,Maile.Veronica.Shelton@dtaa.com,View,16879,,"All sites where fossils of Dermotherium have been found probably developed in forested environments and the fossil species probably were forest dwellers like living colugos, but whether they already had the gliding adaptations of the living species is unknown. Two species are recognized: D. major from the Late Eocene of Thailand, based on a single fragment of the lower jaw, and D. chimaera from the Late Oligocene of Thailand, known from three fragments of the lower jaw and two isolated upper molars. Some features of the teeth differentiate Dermotherium from both living colugo species, but other features are shared with only one of the two."
{W0B5-I7FC56AO-1304RBOT},01/02/2010 07:21:24,IWG0058,PC-4074,Darrel_Holloway@msn.com,Daryl_Bentley@charter.net;IWG9@msn.com,,IWG9@msn.com,Send,2814307,C:\IWG0058\DJTQ0SKF.doc(1571074);C:\87ZlPg0\C8M66TPR.jpg(1221970),"Knut's remains may also be stuffed and put on display in Berlin's Museum of Natural History, although this decision has caused some controversy with fans. His daily meals were reduced in number from four to three, and treats, such as croissants, which were favored by the young polar bear, were restricted. They fought for about 40 minutes before Sherburne, believing he was being attacked by a much larger force, surrendered. Some histories of the action (for example, the 1882 history by Jones) include accounts of significant atrocities committed by the Indians, but little supporting evidence has been found."
{I7F0-E6IS41NY-7021BROS},01/02/2010 07:22:57,DJA0740,PC-7197,Cedric.Samuel.Clements@dtaa.com;Ulric.Emerson.Patton@dtaa.com;Delilah.Geraldine.Quinn@dtaa.com,Andrew.Tobias.Hoover@dtaa.com,Damian.Jack.Alston@dtaa.com,Damian.Jack.Alston@dtaa.com,Send,17758,,"Directed by David Moreton and starring Antonio Sabato Jr., the plot was significantly altered and the film was a critical and financial failure. The modest success of this novel encouraged him to devote himself to what have become his best known works, Fuel-Injected Dreams (a novel revolving around a character loosely based on record producer Phil Spector) and Boy Wonder."
{R9E6-Y1MF63GB-4407QDIS},01/02/2010 07:25:24,MBA1797,PC-0470,Wells_Cecilia@verizon.net,MBA8133@verizon.net;Patton_Lucius@hotmail.com,,MBA8133@verizon.net,Send,20866,,"Leaving some of the prisoners there, he advanced on May 23 to Fort Senneville, a fortified works located on the southwest tip of Montreal island that was owned by Montigny. Sherburne reached Fort Anne, across the Ottawa River from Quinze-Chenes, on May 17. Due to the army's retreat, the two men were not tried until August 1, 1776 at Fort Ticonderoga. The Indians were concerned about the number of troops, but news that the Americans were in retreat from the city of Quebec emboldened them to act. The disagreement between the two men was severe enough that it nearly provoked Arnold to file charges of insubordination against Hazen."
{O0W0-L7VY72BR-2282ZGOL},01/02/2010 07:25:38,DJA0740,PC-7197,Damian.Jack.Alston@dtaa.com,,,Noelani.N.Norris@hp.com,View,45077,,"Genetics may play a role in a person's disposition to SAH; risk is increased three- to fivefold in first-degree relatives of people who have suffered a subarachnoid hemorrhage. Factors found on admission that are associated with poorer outcome include poorer neurological grade; systolic hypertension; a previous diagnosis of heart attack or SAH; liver disease; more blood and larger aneurysm on the initial CT scan; location of an aneurysm in the posterior circulation; and higher age. Hotel Monte Ne, Missouri Row both featured porches {convert|575|ft|m|0} long. By the mid 1920s, highways and roads had become completely government-funded and there was no longer a need for local sponsorship."
{H4O0-R7HL49UX-8885LYQL},01/02/2010 07:25:53,AMB3100,PC-9472,Aaron.Merritt.Burks@dtaa.com,,,Veda_Lott@raytheon.com,View,68177,,"He worked on the waterfront in Wellington until his career was ended by an injury. Macklin believed that Shackleton may have been influenced in his decision by Worsley who shared a mutual enmity with McNish, and had accompanied Shackleton back from Antarctica. McNish, at 40, was one of the oldest members of the crew of the Endurance (Shackleton though was seven months older). Breeding occurs from spring through to late summer; the nest is a round or domed structure made of loosely woven grasses and spider webs, with an entrance in one side generally close to the ground, under 1 m (3 ft), and in thick vegetation. The brightly coloured crown and ear tufts are prominently featured in breeding displays."
{L7M5-I7JX18LC-9705HUEI},01/02/2010 07:26:59,MBA1797,PC-0470,Mikayla.Brynn.Alford@dtaa.com,,,Nomlanga.C.Byrd@boeing.com,View,20332,,"However, less than a month into his residence on New Providence, Rogers was faced with a double threat: Vane wrote, threatening to join with Edward Teach (better known as Blackbeard) to retake the island, and Rogers learned that the Spanish also planned to drive the British out of the Bahamas. When the ships finally dropped anchor in the Thames River on 14 October 1711, a legal battle ensued, with the investors paying the East India Company ?6,000 (about ?666,000 at 2009 values) as settlement for their claim for breach of monopoly, about four percent of what Rogers brought back. The ships intended to force the chilly Drake Passage off the tip of South America, but expedition leaders soon realised that they were short of both warm clothing and alcohol, which was then believed to warm those exposed to cold. On a subsequent voyage to the Pacific, Hatley would emulate Selkirk by becoming the centre of an event which would be immortalised in literature."
{V2A9-H5OE35OD-8016SMSU},01/02/2010 07:27:33,DJA0740,PC-7197,Damian.Jack.Alston@dtaa.com,,,Knapp-Brian@harris.com,View,30145,,"He said: ""Tim and Pete tries to convey in print what people really think rather than what they should think or what's P.C. My fantasy was to leave readers so infuriated they'd throw down the book and march right out to a gun store because they wanted to see the finale so bad they realize the only way it'd happen is if they make it happen in real life!"" Are we still justified in referring to this as art? Multiple hadiths refer to this incident, which was apparently a major cause for outrage among the Quraish of Mecca. By March 11 both armies were about a day's march from Badr."
{M0I0-K1AJ49RR-8835OONC},01/02/2010 07:27:57,IWG0058,PC-4074,Igor.Walter.Gaines@dtaa.com,,,Kasimir.Eden.Maynard@dtaa.com,View,26239,,"He claimed his words were an overreaction, because he had only just learned of Oppenheimer's failure to immediately report an approach by Haakon Chevalier, who had approached Oppenheimer to help the Russians. During the Manhattan Project, Teller also advocated the development of a bomb using uranium hydride, which many of his fellow theorists said would be unlikely to work. Teller emigrated to the United States in the 1930s, and was an early member of the Manhattan Project charged with developing the first atomic bombs. His Life of the Virgin is thought to be the earliest complete biography of Mary, the mother of Jesus. Other than the work by the Christian universalist, Johannes Scotus Eriugena in Ireland, Maximus was largely overlooked by Western theologians until recent years."
{Q0U5-C4HU89UJ-6067MMPT},01/02/2010 07:29:55,JEW2141,PC-8081,Brynne.Jemima.Wall@dtaa.com;Kenyon.Ali.Adams@dtaa.com,Brody.Robert.Jimenez@dtaa.com,Jonas.Eric.Wolf@dtaa.com,Jonas.Eric.Wolf@dtaa.com,Send,14765,,"Sensing trouble, Napoleon ordered his own heavy Guard cavalry forward. Tsar Alexander perhaps best summed up the harsh times for the Allies by stating, ""We are babies in the hands of a giant."" The horse artillery of the Guard also inflicted heavy casualties on the Russian cavalry and fusiliers. The men at Boulogne formed the core for what Napoleon would later call La Grande Armee. At the start, this French army had about 200,000 men organized into seven corps, which were large field units that contained 36 to 40 cannon each and were capable of independent action until other corps could come to the rescue."
{V0K0-P5NZ28OF-7067WFXW},01/02/2010 07:30:15,MBA1797,PC-0470,Mikayla.Brynn.Alford@dtaa.com,,,Richard.Cruz.Frederick@dtaa.com,View,31457,,"The United States was still neutral, however, so Hogg continued her tour of Europe, not leaving until several months later. For the next year Ima nursed him as he struggled to regain his health, but on March 3, 1906, she discovered her father dead in his bed. In 1963, former Governor of Texas Allan Shivers-when presenting Hogg with the Distinguished Alumnus Award of the University of Texas Ex-Students Association (the first woman so honored)-said of ""Miss Ima"":Some persons create history.Some record it. The scout was allowed to notify Sherburne of his capture; in his message he included a claim that 500 Indians had surrounded the fort at The Cedars. In the meantime, General Arnold gathered most of the few remaining forces in Montreal, and sent requests to the outposts around the city for additional troops."
{V1I3-M0WJ60ST-2078SFZJ},01/02/2010 07:31:03,JEW2141,PC-8081,Jonas.Eric.Wolf@dtaa.com,,,Sierra.Gisela.Rodriguez@dtaa.com,View,49807,,"In 2007, Ben Rayner of the Toronto Star listed ""Stark Raving Dad"" as one of the three worst episodes of The Simpsons. The broadcast included a new tongue-in-cheek opening. In a 2009 review for Slate, Josh Levin wrote that ""The greatness of 'Stark Raving Dad' has a lot more to do with The Simpsons{'} writing staff than with Jackson's voice-over talents."
